"","Collection.date","Lineage names","n","freq"
"378",2022-06-04,"BA.2.9",2,2.86
"379",2022-05-05,"BA.2.3",5,2.82
"380",2022-05-27,"BA.5",3,2.8
"381",2022-06-07,"BA.2.3",3,2.8
"382",2022-06-07,"BA.5.1",3,2.8
"383",2022-04-21,"BA.1.1",2,2.78
"384",2022-06-28,"BA.2.18",1,2.78
"385",2022-06-28,"BA.5.5",1,2.78
"386",2022-05-16,"BA.2.3",4,2.74
"387",2022-05-26,"BA.2.12",3,2.73
"388",2022-05-26,"BA.5",3,2.73
"389",2022-04-14,"BA.2.10",3,2.7
"390",2022-04-23,"BA.1.1",3,2.68
"391",2022-04-23,"BA.2.3",3,2.68
"392",2022-04-15,"BA.2.7",4,2.56
"393",2022-05-22,"BA.2.21",3,2.56
"394",2022-05-22,"BA.2.9",3,2.56
"395",2022-05-22,"BA.5",3,2.56
"396",2022-05-24,"BA.2.3",3,2.56
"397",2022-05-24,"BA.5",3,2.56
"398",2022-04-13,"BA.2.12",3,2.54
"399",2022-04-19,"BA.2.9",3,2.54
"400",2022-04-28,"BA.2.21",3,2.5
"401",2022-04-28,"BA.2.7",3,2.5
"402",2022-06-24,"BA.2",2,2.5
"403",2022-06-24,"BA.4",2,2.5
"404",2022-06-24,"Other",2,2.5
"405",2022-06-13,"BA.5.1",2,2.47
"406",2022-06-13,"BE.1",2,2.47
"407",2022-05-14,"BA.2.7",2,2.44
"408",2022-05-14,"BA.2.9",2,2.44
"409",2022-05-14,"BA.5",2,2.44
"410",2022-05-23,"BA.2.9",3,2.42
"411",2022-06-10,"BA.2.23",2,2.41
"412",2022-06-10,"BA.2.8",2,2.41
"413",2022-06-10,"BA.5.2.1",2,2.41
"414",2022-06-10,"BA.5.5",2,2.41
"415",2022-06-11,"BA.2.36",1,2.38
"416",2022-06-11,"BA.5.2.1",1,2.38
"417",2022-06-11,"Other",1,2.38
"418",2022-06-11,"Unassigned",1,2.38
"419",2022-04-26,"BA.2.7",3,2.36
"420",2022-04-27,"Other",3,2.36
"421",2022-04-30,"BA.2.13",3,2.33
"422",2022-06-02,"BA.2.1",2,2.3
"423",2022-06-02,"BA.2.9",2,2.3
"424",2022-04-18,"BA.2.10",3,2.29
"425",2022-06-17,"BA.2.9",1,2.22
"426",2022-06-17,"Other",1,2.22
"427",2022-06-21,"BA.2.13",1,2.22
"428",2022-05-29,"BA.2.20",1,2.17
"429",2022-05-29,"BA.2.21",1,2.17
"430",2022-05-29,"BA.2.3",1,2.17
"431",2022-05-29,"BA.2.7",1,2.17
"432",2022-06-01,"BA.4",2,2.17
"433",2022-06-01,"Other",2,2.17
"434",2022-06-18,"BA.4",1,2.17
"435",2022-06-18,"BA.5.2",1,2.17
"436",2022-06-18,"BA.5.5",1,2.17
"437",2022-06-18,"BE.1",1,2.17
"438",2022-06-18,"Other",1,2.17
"439",2022-04-25,"BA.2.7",3,2.16
"440",2022-06-08,"BA.2.9",3,2.16
"441",2022-05-21,"BA.2.18",2,2.15
"442",2022-05-21,"BA.2.3",2,2.15
"443",2022-06-14,"BA.2",1,2.13
"444",2022-06-14,"BA.2.9",1,2.13
"445",2022-06-14,"BA.5.1",1,2.13
"446",2022-06-14,"BA.5.2.1",1,2.13
"447",2022-06-14,"Other",1,2.13
"448",2022-06-12,"BA.4.1",1,2.08
"449",2022-06-12,"Unassigned",1,2.08
"450",2022-05-16,"BA.2.8",3,2.05
"451",2022-05-12,"BA.2.7",4,2.03
"452",2022-05-02,"BA.2.3",3,2
"453",2022-05-02,"BA.2.7",3,2
"454",2022-04-22,"BA.2.10",2,1.96
"455",2022-04-22,"Other",2,1.96
"456",2022-05-10,"BA.2.3",3,1.96
"457",2022-05-18,"BA.2.23.1",2,1.96
"458",2022-05-18,"BA.2.9",2,1.96
"459",2022-05-20,"BA.2.36",2,1.96
"460",2022-06-05,"BA.2.13",1,1.96
"461",2022-06-05,"BA.5.1",1,1.96
"462",2022-06-26,"BA.2",1,1.96
"463",2022-06-26,"BA.2.18",1,1.96
"464",2022-05-03,"BA.2.3",3,1.94
"465",2022-04-15,"BA.2.3",3,1.92
"466",2022-05-07,"BA.2.21",2,1.87
"467",2022-05-27,"BA.2.3",2,1.87
"468",2022-06-07,"BA.2.9",2,1.87
"469",2022-05-04,"BA.2.3",3,1.85
"470",2022-05-08,"BA.4",2,1.85
"471",2022-05-26,"BA.2.3",2,1.82
"472",2022-05-26,"BA.4",2,1.82
"473",2022-04-23,"BA.2.10",2,1.79
"474",2022-04-23,"BA.2.12",2,1.79
"475",2022-04-23,"BA.2.7",2,1.79
"476",2022-04-24,"BA.1.1",2,1.79
"477",2022-06-09,"BA.4.1",2,1.79
"478",2022-06-09,"BA.5.2.1",2,1.79
"479",2022-04-29,"BA.2.3",2,1.72
"480",2022-05-24,"BA.2.8",2,1.71
"481",2022-05-24,"BA.4",2,1.71
"482",2022-04-13,"BA.2.10",2,1.69
"483",2022-04-13,"BA.2.26",2,1.69
"484",2022-04-19,"BA.2.12",2,1.69
"485",2022-04-19,"BA.2.26",2,1.69
"486",2022-04-19,"Other",2,1.69
"487",2022-05-05,"BA.2.7",3,1.69
"488",2022-04-28,"BA.2.8",2,1.67
"489",2022-05-31,"BA.2.18",3,1.65
"490",2022-05-23,"BA.4",2,1.61
"491",2022-05-23,"BA.5",2,1.61
"492",2022-04-26,"BA.2.23.1",2,1.57
"493",2022-05-11,"BA.2.3",2,1.57
"494",2022-05-11,"BA.2.7",2,1.57
"495",2022-05-11,"Other",2,1.57
"496",2022-05-17,"BA.2.3",2,1.57
"497",2022-05-17,"BA.5",2,1.57
"498",2022-06-06,"BA.2.3",1,1.56
"499",2022-06-06,"BA.2.9",1,1.56
"500",2022-06-06,"BA.5.1",1,1.56
"501",2022-04-30,"BA.1.1",2,1.55
"502",2022-04-30,"BA.2.10",2,1.55
"503",2022-04-30,"BA.2.12",2,1.55
"504",2022-06-23,"BA.2",1,1.54
"505",2022-06-23,"BA.2.13",1,1.54
"506",2022-06-25,"BA.2.3",1,1.54
"507",2022-06-25,"BA.4",1,1.54
"508",2022-06-25,"Other",1,1.54
"509",2022-04-18,"BA.2.26",2,1.53
"510",2022-04-18,"BA.2.7",2,1.53
"511",2022-04-18,"Other",2,1.53
"512",2022-05-06,"BA.2.12",2,1.49
"513",2022-05-06,"BA.2.7",2,1.49
"514",2022-06-15,"BA.2.18",1,1.49
"515",2022-06-15,"BA.4.1",1,1.49
"516",2022-06-15,"BA.5.2.1",1,1.49
"517",2022-06-15,"BE.1",1,1.49
"518",2022-06-20,"BA.5.2",1,1.49
"519",2022-06-20,"Unassigned",1,1.49
"520",2022-06-22,"BA.2",1,1.47
"521",2022-05-01,"BA.4",1,1.45
